timestamp_ms,latitude,longitude,altitude_m,fix_quality,satellites,hdop,speed_kn,heading_deg
3214310,41.4906820,-91.7033850,194.3691,1,05,49.2,0.07169,2112
3214462,41.4906820,-91.7033850,194.3691,1,05,49.2,0.07169,2112
3214725,41.4906823,-91.7033848,194.3600,1,18,0.9,0.04667,2112
3214847,41.4906823,-91.7033847,194.3255,1,18,0.9,0.11365,2112
3215022,41.4906823,-91.7033847,194.3255,1,18,0.9,0.11365,2112
3215079,41.4906823,-91.7033845,194.2720,1,18,0.9,0.11365,2112
3215153,41.4906823,-91.7033845,194.2720,1,18,0.9,0.11365,2112
3215299,41.4906810,-91.7033858,194.3518,1,18,0.9,0.08922,2112
3215443,41.4906810,-91.7033858,194.3518,1,18,0.9,0.08922,2112
3215885,41.4906812,-91.7033855,194.3025,1,18,0.9,0.07434,2112
3215992,41.4906812,-91.7033855,194.3025,1,18,0.9,0.07434,2112
3216210,41.4906811,-91.7033853,194.2563,1,18,0.9,0.02595,2112
3216491,41.4906812,-91.7033853,194.2127,1,18,0.9,0.06509,2112
3216657,41.4906812,-91.7033853,194.2127,1,18,0.9,0.06509,2112
3217092,41.4906815,-91.7033835,193.9359,1,18,0.9,0.09822,2112
3217208,41.4906815,-91.7033835,193.9359,1,18,0.9,0.09822,2112
3217355,41.4906815,-91.7033834,193.8851,1,05,2.7,0.08577,2112
3217511,41.4906814,-91.7033833,193.9019,1,05,2.7,0.06305,2113
3217783,41.4906814,-91.7033833,193.9019,1,05,2.7,0.06305,2113
3218032,41.4906814,-91.7033836,193.8566,1,05,2.7,0.12068,2113
3218108,41.4906814,-91.7033836,193.8566,1,05,2.7,0.12068,2113
3218455,41.4906814,-91.7033834,193.8687,1,05,2.7,0.12068,2113
3218649,41.4906814,-91.7033834,193.8687,1,05,2.7,0.12068,2113
3218895,41.4906814,-91.7033835,193.8778,1,05,2.7,0.13991,2113
3219044,41.4906814,-91.7033835,193.8778,1,05,2.7,0.13991,2113
3219297,41.4906813,-91.7033835,193.8770,1,05,2.7,0.07976,2113
3219449,41.4906813,-91.7033835,193.8770,1,05,2.7,0.07976,2113
